No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Components,Use standalone components,Angular 19 defaults to standalone architecture,Standalone components without NgModules,NgModules for new projects,@Component({ standalone: true }),@NgModule({ declarations: [MyComponent] }),High,https://angular.dev/guide/components
2,Components,Keep components focused,Single responsibility per component,One concern per component,Multi-purpose god components,@Component({ selector: 'app-user-avatar' }),500-line component with multiple concerns,Medium,https://angular.dev/guide/components
3,Components,Use OnPush change detection,OnPush for better performance with signals,OnPush with signals and immutable data,Default change detection everywhere,changeDetection: ChangeDetectionStrategy.OnPush,changeDetection: ChangeDetectionStrategy.Default,High,https://angular.dev/best-practices/runtime-performance
4,Components,Colocate component files,Keep template styles tests together,Component folder with related files,Separate folders for templates and styles,app/user/user.component.ts .html .scss .spec.ts,components/user.ts templates/user.html,Low,
5,Signals,Use signals for reactive state,Signals are Angular 19's primary reactivity primitive,signal() for component state,Traditional property binding for reactive data,count = signal(0); count.update(v => v + 1),count = 0; this.count++,High,https://angular.dev/guide/signals
6,Signals,Use computed for derived state,Computed signals automatically track dependencies,computed() for derived values,Manual recalculation in getters,total = computed(() => price() * quantity()),get total() { return this.price * this.quantity },High,https://angular.dev/guide/signals#computed-signals
7,Signals,Use effect for side effects,Effects run when signal dependencies change,effect() for side effects based on signals,ngOnChanges or manual subscriptions,effect(() => console.log(count())),ngOnChanges() for signal changes,Medium,https://angular.dev/guide/signals#effects
8,Signals,Avoid effects for derived state,Use computed not effect for calculations,computed() for derived values,effect() to set other signals,computed(() => a() + b()),effect(() => c.set(a() + b())),High,https://angular.dev/guide/signals#choosing-the-right-reactive-primitive
9,Signals,Interop with RxJS using toSignal,Convert observables to signals,toSignal() for observable to signal,Manual subscription management,data = toSignal(this.http.get(url)),this.http.get(url).subscribe(d => this.data = d),High,https://angular.dev/guide/signals/rxjs-interop
10,DI,Use inject function,Modern inject() function in constructors or field initializers,inject() for dependencies,Constructor injection everywhere,private http = inject(HttpClient),constructor(private http: HttpClient),Medium,https://angular.dev/guide/di/dependency-injection
11,DI,Provide services in root,providedIn: 'root' for singleton services,Root injection for app-wide services,Module providers,@Injectable({ providedIn: 'root' }),providers: [MyService] in module,High,https://angular.dev/guide/di/creating-injectable-service
12,DI,Use injection tokens,InjectionToken for non-class dependencies,InjectionToken for configuration,String tokens,export const API_URL = new InjectionToken<string>('apiUrl'),@Inject('apiUrl'),High,https://angular.dev/guide/di/dependency-injection-providers#using-an-injectiontoken-object
13,DI,Scope providers appropriately,Component-level for component-specific instances,Component providers for isolated state,Root providers for component state,@Component({ providers: [LocalService] }),All services in root,Medium,
14,Forms,Use reactive forms,Reactive forms for complex validation and dynamic forms,FormBuilder for form creation,Template-driven forms for complex scenarios,fb.group({ email: ['', Validators.required] }),<input [(ngModel)]="email">,High,https://angular.dev/guide/forms/reactive-forms
15,Forms,Type your forms,Use typed FormControl and FormGroup,Typed form controls,Untyped forms (deprecated),FormControl<string>(''),new FormControl('') // untyped,High,https://angular.dev/guide/forms/typed-forms
16,Forms,Use built-in validators,Built-in validators for common cases,Validators class for validation,Custom validators for common cases,Validators.required Validators.email,Custom email validator,Medium,https://angular.dev/guide/forms/form-validation
17,Forms,Create custom validators,Custom validator functions for business logic,ValidatorFn for reusable validation,Inline validation logic,export function customValidator(): ValidatorFn {},if (control.value...) in component,Medium,https://angular.dev/guide/forms/form-validation#defining-custom-validators
18,Forms,Handle async validation,AsyncValidator for server-side validation,debounceTime with async validators,Sync validation for async checks,asyncValidator: [uniqueEmailValidator()],Sync validator calling API,Medium,https://angular.dev/guide/forms/form-validation#implementing-a-custom-async-validator
19,Material,Use Material 3 components,Material 19 implements Material Design 3,Angular Material components,Custom component reimplementing Material,<mat-button>Click</mat-button>,<button class="custom-material-button">,High,https://material.angular.io/
20,Material,Apply Material theming,Use Material theming system,Theme customization with $theme,Hardcoded colors everywhere,@include mat.button-theme($theme),button { background: #3f51b5 },Medium,https://material.angular.io/guide/theming
21,Material,Use Material density,Adjust density for compact layouts,Density mixins for spacing,Manual padding adjustments,@include mat.button-density(-2),mat-button { padding: 4px !important },Low,https://material.angular.io/guide/theming#applying-density
22,Material,Import Material modules,Import only needed Material modules,Standalone imports or specific modules,Import entire MaterialModule,import { MatButtonModule } from '@angular/material/button',Import all Material modules,Medium,
23,Material,Use mat-form-field,Wrap Material inputs in mat-form-field,mat-form-field for Material inputs,Standalone Material inputs,<mat-form-field><input matInput></mat-form-field>,<input matInput> without form field,High,https://material.angular.io/components/form-field
24,Material,Use MatDialog properly,MatDialog service for modals,Inject MatDialog to open dialogs,DIY modal implementation,dialog.open(MyDialogComponent { data }),Custom modal overlay,Medium,https://material.angular.io/components/dialog
25,Material,Use CDK utilities,CDK for complex UI patterns,CDK for drag-drop overlays a11y,Reimplement complex patterns,import { DragDropModule } from '@angular/cdk/drag-drop',Custom drag and drop,Medium,https://material.angular.io/cdk/categories
26,Routing,Use Routes array,Define routes in Routes array,Routes with path and component,String-based routing,{ path: 'users', component: UsersComponent },Routing strings everywhere,High,https://angular.dev/guide/routing
27,Routing,Lazy load routes,Lazy load feature modules,loadComponent or loadChildren,Eager load everything,loadComponent: () => import('./feature/feature.component'),import FeatureComponent in routes,High,https://angular.dev/guide/routing/common-router-tasks#lazy-loading
28,Routing,Use route guards,Guards for authentication and authorization,canActivate canLoad guards,Logic in components,canActivate: [authGuard],if (!user) router.navigate in component,High,https://angular.dev/guide/routing/common-router-tasks#preventing-unauthorized-access
29,Routing,Use resolvers for data,Resolve data before navigation,Resolver to pre-fetch data,Data fetching in ngOnInit,resolve: { user: userResolver },ngOnInit() { this.fetchUser() },Medium,https://angular.dev/guide/routing/common-router-tasks#getting-route-information
30,Routing,Use router state,Access route params via ActivatedRoute,inject(ActivatedRoute) for params,Parse URL manually,route.paramMap.pipe(map(p => p.get('id'))),window.location.pathname.split('/'),High,
31,ChangeDetection,Use OnPush with signals,OnPush + signals for optimal performance,OnPush strategy with signal inputs,Default change detection,changeDetection: OnPush + count = input<number>(),Default change detection with @Input,High,https://angular.dev/best-practices/runtime-performance
32,ChangeDetection,Avoid change detection triggers,Minimize CD cycles,Run async outside NgZone when needed,Frequent unnecessary CD triggers,this.ngZone.runOutsideAngular(() => ...),setInterval in component without ngZone,Medium,
33,ChangeDetection,Use trackBy for lists,TrackBy functions for ngFor performance,trackBy for list rendering,Index-based ngFor,<div *ngFor="let item of items; trackBy: trackById">,<div *ngFor="let item of items">,High,https://angular.dev/guide/directives/structural-directives#improving-rendering-performance-with-trackby
34,Performance,Lazy load modules,Code splitting with lazy loading,Lazy routes for features,Load entire app upfront,loadChildren: () => import('./feature/feature.routes'),Import all routes eagerly,High,https://angular.dev/guide/routing/common-router-tasks#lazy-loading
35,Performance,Use standalone components,Standalone reduces bundle size,Standalone components without NgModules,NgModule overhead,@Component({ standalone: true imports: [] }),NgModule with declarations,Medium,https://angular.dev/guide/components/importing
36,Performance,Optimize bundle size,Tree-shaking and build optimization,Production builds with optimization,Development builds in production,ng build --configuration production,ng build without optimization,High,https://angular.dev/tools/cli/build
37,Performance,Use pure pipes,Pure pipes for transformations,Pure pipes for data transformation,Functions called in templates,{{ value | customPipe }},{{ transformValue(value) }},High,https://angular.dev/guide/pipes
38,Performance,Avoid function calls in templates,Functions in templates run on every CD,Properties or pipes in templates,Method calls in templates,{{ computedValue() }},{{ calculateValue() }},High,
39,RxJS,Unsubscribe from observables,Prevent memory leaks,takeUntilDestroyed or async pipe,Manual subscriptions without cleanup,takeUntilDestroyed() or | async,this.sub = obs.subscribe() without unsubscribe,High,https://angular.dev/best-practices/memory-leaks#unsubscribing-from-observables
40,RxJS,Use async pipe,Async pipe for template subscriptions,Async pipe in templates,Manual subscribe in component,{{ data$ | async }},ngOnInit() { data$.subscribe(d => this.data = d) },High,https://angular.dev/guide/pipes
41,RxJS,Use operators correctly,Compose with RxJS operators,map filter switchMap for transformations,Nested subscribes,obs$.pipe(switchMap(a => other$(a))),obs$.subscribe(a => other$(a).subscribe()),High,https://rxjs.dev/guide/operators
42,RxJS,Use subjects appropriately,Subjects for multicasting,Subject for event buses,Subject overuse for state,private subject = new Subject<void>(),Subject for all component communication,Medium,https://rxjs.dev/guide/subject
43,RxJS,Prefer switchMap for latest,SwitchMap cancels previous,switchMap for search/navigation,mergeMap for cancellable operations,searchTerm$.pipe(switchMap(term => search(term))),searchTerm$.pipe(mergeMap(term => search(term))),Medium,
44,TypeScript,Use strict mode,Enable strict TypeScript,strict: true in tsconfig,Loose TypeScript config,"strict": true in tsconfig.json,"strict": false,High,https://www.typescriptlang.org/tsconfig#strict
45,TypeScript,Type component inputs,Type all inputs and outputs,Type-safe inputs with input(),Untyped @Input,count = input.required<number>(),@Input() count: any,High,https://angular.dev/guide/components/inputs
46,TypeScript,Use interfaces,Interfaces for data models,Interface for API responses and models,any or inline types,interface User { id: number; name: string },data: any,High,
47,TypeScript,Avoid any type,Use unknown or specific types,Proper typing or unknown,any type,function parse(data: unknown),function parse(data: any),High,
48,TypeScript,Use generics,Generic components and services,Generic types for reusable code,Type assertions everywhere,class DataService<T> { get(): Observable<T> },class DataService { get(): Observable<any> },Medium,
49,Testing,Use TestBed,TestBed for component testing,TestBed.configureTestingModule for tests,Shallow testing without TestBed,TestBed.createComponent(MyComponent),new MyComponent(),High,https://angular.dev/guide/testing/components-basics
50,Testing,Test behavior not implementation,Test user interactions,Test what users see and do,Test private methods,expect(compiled.querySelector('h1')?.textContent),expect(component.privateMethod()),Medium,https://angular.dev/guide/testing/components-scenarios
51,Testing,Use fakeAsync for async tests,fakeAsync and tick for time control,fakeAsync for timer testing,Real setTimeout in tests,fakeAsync(() => { tick(1000); }),setTimeout in test (flaky),Medium,https://angular.dev/guide/testing/components-scenarios#testing-with-the-async-and-fakeasync-functions
52,Testing,Mock dependencies,Mock services in tests,TestBed providers with mocks,Real HTTP calls in unit tests,providers: [{ provide: MyService useValue: mockService }],providers: [MyService] with real API,High,
53,Accessibility,Use semantic HTML,Proper HTML elements,Semantic elements for meaning,Divs for everything,<button (click)="save()">Save</button>,<div (click)="save()">Save</div>,High,https://angular.dev/best-practices/a11y
54,Accessibility,Use ARIA attributes,ARIA for dynamic content,ARIA labels and roles,Missing accessibility attributes,[attr.aria-label]="label",<button> without aria-label,Medium,https://angular.dev/best-practices/a11y
55,Accessibility,Material has built-in a11y,Material components are accessible by default,Use Material components,Reinvent accessible components,<mat-button aria-label="Save">Save</mat-button>,Custom button without a11y,High,https://material.angular.io/cdk/a11y/overview
56,State,Use services for shared state,Services with signals for state,Service with signals for state management,Component-to-component state passing,@Injectable() class StateService { count = signal(0) },@Output() passing data up/down,Medium,https://angular.dev/guide/signals
